Date,Policy #,Processing Done
"Friday, November 17, 2017",VF53204480,EFT TIA
"Friday, November 17, 2017",VF53183390,Refund
"Friday, November 17, 2017",VF53185280,Refund
"Friday, November 17, 2017",VF53204510,EFT TIA
"Friday, November 17, 2017",VF53196470,Paycase
"Friday, November 17, 2017",VF76049070,EFT TIA
"Friday, November 17, 2017",VF53204520,EFT TIA
"Friday, November 17, 2017",VF53204490,EFT TIA
"Friday, November 17, 2017",VF53197650,EFT TIA
"Friday, November 17, 2017",VF53204530,EFT TIA
"Friday, November 17, 2017",VF53204470,EFT TIA
"Friday, November 17, 2017",VF53175140,Apply Check
"Monday, November 20, 2017",VF53204580,EFT TIA
"Monday, November 20, 2017",VF53177450,Refund
"Monday, November 20, 2017",VF53194390,Refund
"Monday, November 20, 2017",VF53188180,TIAEXPIRED
"Monday, November 20, 2017",VF53192350,TIAEXPIRED
"Monday, November 20, 2017",VF53193740,TIAEXPIRED
"Monday, November 20, 2017",VF53182720,Refund
"Monday, November 20, 2017",VF53187740,Refund
"Monday, November 20, 2017",VF53193840,Refund
"Monday, November 20, 2017",VF53194000,Refund
"Monday, November 20, 2017",VF53205230,EFT TIA
"Monday, November 20, 2017",VF53205110,EFT TIA
"Monday, November 20, 2017",VF53177720,Docattach
"Tuesday, November 21, 2017",VF53177020,Refund
"Tuesday, November 21, 2017",VF53177060,Refund
"Tuesday, November 21, 2017",VF53177160,Refund
"Tuesday, November 21, 2017",VF53205860,EFT TIA
"Tuesday, November 21, 2017",VF53177190,Refund
"Tuesday, November 21, 2017",VF53185420,Refund
"Tuesday, November 21, 2017",VF53205460,EFT TIA
"Tuesday, November 21, 2017",VF53205710,EFT TIA
"Tuesday, November 21, 2017",VF53205740,EFT TIA
"Tuesday, November 21, 2017",VF53205720,EFT TIA
"Tuesday, November 21, 2017",VF53205900,EFT TIA
"Tuesday, November 21, 2017",VF53177240,Refund
"Tuesday, November 21, 2017",VF53205740,EFT TIA
"Tuesday, November 21, 2017",VF53205720,EFT TIA
"Wednesday, November 22, 2017",VF53205910,EFT TIA
"Wednesday, November 22, 2017",VF53205920,EFT TIA
"Wednesday, November 22, 2017",VF53177160,Refund
"Wednesday, November 22, 2017",VF53206190,EFT TIA
"Wednesday, November 22, 2017",VF53177190,Refund
"Wednesday, November 22, 2017",VP66314100,EFT TIA
"Wednesday, November 22, 2017",VP66314190,EFT TIA
"Wednesday, November 22, 2017",VF53206220,EFT TIA
"Wednesday, November 22, 2017",VF53206070,EFT TIA
"Wednesday, November 22, 2017",VF53202590,EFT TIA
"Wednesday, November 22, 2017",VF53202600,EFT TIA
"Wednesday, November 22, 2017",VP66314190,EFT TIA
"Wednesday, November 22, 2017",VF53206070,EFT TIA
"Wednesday, November 22, 2017",VF53177240,Refund
"Wednesday, November 22, 2017",VF53205990,EFT TIA
"Wednesday, November 22, 2017",VF53206590,EFT TIA
"Wednesday, November 22, 2017",VF53206370,EFT TIA
"Wednesday, November 22, 2017",VF53193740,Refund
"Monday, November 27, 2017",VF53206730,EFT TIA
"Monday, November 27, 2017",VF53206790,EFT TIA
"Monday, November 27, 2017",VF53188750,TIAEXPIRED
"Monday, November 27, 2017",VF53177060,Refund
"Monday, November 27, 2017",VF53206760,EFT TIA
"Monday, November 27, 2017",VF53206490,EFT TIA
"Monday, November 27, 2017",VF53206760,EFT TIA
"Monday, November 27, 2017",VF53207240,EFT TIA
"Monday, November 27, 2017",VF53207930,EFT TIA
"Monday, November 27, 2017",VF53207850,EFT TIA
"Monday, November 27, 2017",VF53207090,EFT TIA
"Monday, November 27, 2017",VF53207400,EFT TIA
"Monday, November 27, 2017",VP66312600,Paycase
"Monday, November 27, 2017",VF53207400,EFT TIA
"Monday, November 27, 2017",VF53207100,EFT TIA
"Monday, November 27, 2017",VF53205930,EFT TIA
"Monday, November 27, 2017",VF53206840,EFT TIA
"Monday, November 27, 2017",VF53207470,EFT TIA
"Monday, November 27, 2017",VF53207070,EFT TIA
"Monday, November 27, 2017",VF53207170,EFT TIA
"Tuesday, November 28, 2017",VF53207940,EFT TIA
"Tuesday, November 28, 2017",VF53207830,EFT TIA
"Tuesday, November 28, 2017",VF53207820,EFT TIA
"Tuesday, November 28, 2017",VF53205320,EFT TIA
"Tuesday, November 28, 2017",VF53207860,EFT TIA
"Tuesday, November 28, 2017",VF53188750,TIAEXPIRED
"Tuesday, November 28, 2017",VF53193900,Refund
"Tuesday, November 28, 2017",VF53181820,Refund
"Tuesday, November 28, 2017",VF53194390,Refund
"Tuesday, November 28, 2017",VF53208570,EFT TIA
"Tuesday, November 28, 2017",VF53205950,EFT TIA
"Tuesday, November 28, 2017",VP66314400,EFT TIA
"Tuesday, November 28, 2017",VF53208170,EFT TIA
"Tuesday, November 28, 2017",VF53208570,EFT TIA
"Tuesday, November 28, 2017",VF53205680,EFT TIA
"Tuesday, November 28, 2017",VF53187740,Refund
"Wednesday, November 29, 2017",VF53208510,EFT TIA
"Wednesday, November 29, 2017",VF53208100,EFT TIA
"Wednesday, November 29, 2017",VF53208230,EFT TIA
"Wednesday, November 29, 2017",VF53208840,EFT TIA
"Wednesday, November 29, 2017",VF53177060,Refund
"Wednesday, November 29, 2017",VF53183390,Refund
"Wednesday, November 29, 2017",VF53208460,EFT TIA
"Wednesday, November 29, 2017",VF53209260,EFT TIA
"Wednesday, November 29, 2017",VF53193840,Refund
"Wednesday, November 29, 2017",VF53209380,EFT TIA
"Wednesday, November 29, 2017",VF53208530,EFT TIA
"Wednesday, November 29, 2017",VF53208980,EFT TIA
"Wednesday, November 29, 2017",VF53207000,EFT TIA
"Wednesday, November 29, 2017",VF53189370,EFT TIA
"Wednesday, November 29, 2017",VF53192890,EFT TIA
"Wednesday, November 29, 2017",VF53205260,EFT TIA
"Wednesday, November 29, 2017",VF53205220,EFT TIA
"Wednesday, November 29, 2017",VF53209010,EFT TIA
"Wednesday, November 29, 2017",VF53209210,EFT TIA
"Wednesday, November 29, 2017",VF53198140,EFT TIA
"Wednesday, November 29, 2017",VF53203160,EFT TIA
"Wednesday, November 29, 2017",VF53209850,EFT TIA
"Wednesday, November 29, 2017",VF53209800,EFT TIA
"Thursday, November 30, 2017",VF53183390,Refund
"Thursday, November 30, 2017",VF53209760,EFT TIA
"Thursday, November 30, 2017",VF53210090,EFT TIA
"Thursday, November 30, 2017",VF53210250,EFT TIA
"Thursday, November 30, 2017",VF53177060,Refund
"Friday, December 1, 2017",VF53208190,EFT TIA
"Friday, December 1, 2017",VF53210890,EFT TIA
"Friday, December 1, 2017",VF53209640,EFT TIA
"Friday, December 1, 2017",VF53210820,EFT TIA
"Friday, December 1, 2017",VF53210830,EFT TIA
"Friday, December 1, 2017",VF53193470,Refund
"Friday, December 1, 2017",VF53210920,EFT TIA
"Monday, December 4, 2017",VF53207750,EFT TIA
"Monday, December 4, 2017",VF53212240,EFT TIA
"Monday, December 4, 2017",VF53206890,EFT TIA
"Monday, December 4, 2017",VF53212430,EFT TIA
"Monday, December 4, 2017",VF53207740,EFT TIA
"Monday, December 4, 2017",VF53207910,EFT TIA
"Monday, December 4, 2017",VF53210060,EFT TIA
"Tuesday, December 5, 2017",VF53208890,EFT TIA
"Thursday, December 7, 2017",VF53214060,EFT TIA
"Thursday, December 7, 2017",VF53213980,EFT TIA
"Thursday, December 7, 2017",VF53214390,EFT TIA
"Thursday, December 7, 2017",VF53213680,EFT TIA
"Thursday, December 7, 2017",VF53213710,EFT TIA
"Monday, December 11, 2017",VF53205010,Refund
"Monday, December 11, 2017",VF53192890,Refund
"Monday, December 11, 2017",VF53197320,Refund
"Monday, December 11, 2017",VF53193770,Docattach
"Monday, December 11, 2017",VF53203400,Docattach
"Monday, December 11, 2017",VF53214720,EFT TIA
"Monday, December 11, 2017",VF53215200,EFT TIA
"Monday, December 11, 2017",VF53201160,TIAEXPIRED
"Monday, December 11, 2017",VF53203590,TIAEXPIRED
"Monday, December 11, 2017",VF53187180,Docattach
"Monday, December 11, 2017",VF53203840,TIAEXPIRED
"Monday, December 11, 2017",VF53200040,TIAEXPIRED
"Monday, December 11, 2017",VF53215070,Apply Check
"Monday, December 11, 2017",VF53215770,EFT TIA
"Monday, December 11, 2017",VF53215770,EFT TIA
"Monday, December 11, 2017",VF53196470,Reissue
"Monday, December 11, 2017",VF53196470,Refund
"Monday, December 11, 2017",VF53211600,EFT TIA
"Monday, December 11, 2017",VF53215330,EFT TIA
"Monday, December 11, 2017",VF53211170,Apply Check
"Monday, December 11, 2017",VF53215870,Apply Check
"Tuesday, December 12, 2017",VF53196470,Reissue
"Tuesday, December 12, 2017",VF53193930,Paycase
"Tuesday, December 12, 2017",VF53211160,Paycase
"Friday, December 15, 2017",VF53183340,Paycase
"Monday, December 18, 2017",VF53181890,Paycase
"Monday, December 18, 2017",VF53203970,Docattach
"Monday, December 18, 2017",VF53214040,EFT TIA
"Tuesday, December 19, 2017",VF53219230,EFT TIA
"Tuesday, December 19, 2017",VF53219490,EFT TIA
"Tuesday, December 19, 2017",VF53219590,EFT TIA
"Wednesday, December 20, 2017",VF53190870 ,Refund
"Wednesday, December 20, 2017",VF53208620,EFT TIA
"Wednesday, December 20, 2017",VF53174360,Paycase
"Wednesday, December 20, 2017",VF53219910,EFT TIA
"Wednesday, December 20, 2017",VF53184240,Paycase
"Wednesday, December 20, 2017",VF53219730,EFT TIA
"Wednesday, December 20, 2017",VF53219840,EFT TIA
"Wednesday, December 20, 2017",VF53200160,Paycase
"Wednesday, December 20, 2017",VP66309890,Paycase
"Wednesday, December 20, 2017",VF53220220,EFT TIA
"Wednesday, December 20, 2017",VF53220220,EFT TIA
"Wednesday, December 20, 2017",VF53197230,Refund
"Wednesday, December 20, 2017",VF53206460,TIAEXPIRED
"Thursday, December 21, 2017",VF53209220,Refund
"Thursday, December 21, 2017",VF53203730,Refund
"Thursday, December 21, 2017",VF53204550,Refund
"Thursday, December 21, 2017",VF53209490,Paycase
"Thursday, December 21, 2017",VF53204970,Refund
"Thursday, December 21, 2017",VF53220960,EFT TIA
"Thursday, December 21, 2017",VF76049070,Refund
"Thursday, December 21, 2017",VF53216480,Refund
"Thursday, December 21, 2017",VF53204510,Refund
"Friday, December 22, 2017",VF53186110,Paycase
"Friday, December 22, 2017",VF53177630,Paycase
"Friday, December 22, 2017",VP66309470,Paycase
"Friday, December 22, 2017",VF53218260,EFT TIA
"Friday, December 22, 2017",VF53193240,Docattach
"Friday, December 22, 2017",VF53192060,Docattach
"Friday, December 22, 2017",VF53221660,EFT TIA
"Friday, December 22, 2017",VP66309590,Paycase
"Friday, December 22, 2017",VF53196140,Docattach
"Friday, December 22, 2017",VF53218940,EFT TIA
"Friday, December 22, 2017",VF53221420,EFT TIA
"Friday, December 22, 2017",VF53221630,EFT TIA
"Friday, December 22, 2017",VF53221270,EFT TIA
"Friday, December 22, 2017",VF53221270,EFT TIA
"Friday, December 22, 2017",VF53205900,EFT TIA
"Tuesday, December 26, 2017",VF53220950,EFT TIA
"Wednesday, December 27, 2017",VF53180920,Paycase
"Wednesday, December 27, 2017",VP66311480,Paycase
"Wednesday, December 27, 2017",VF53221820,EFT TIA
"Wednesday, December 27, 2017",VF53222540,EFT TIA
"Wednesday, December 27, 2017",VF53222040,EFT TIA
"Wednesday, December 27, 2017",VF53222140,EFT TIA
"Wednesday, December 27, 2017",VF53196720,Reissue
"Wednesday, December 27, 2017",VF53222660,EFT TIA
"Wednesday, December 27, 2017",VF53189570,Docattach
"Wednesday, December 27, 2017",VF53222510,EFT TIA
"Wednesday, December 27, 2017",VF53222010,EFT TIA
"Wednesday, December 27, 2017",VF53221990,EFT TIA
"Wednesday, December 27, 2017",VF53222810,EFT TIA
"Wednesday, December 27, 2017",VF53222510,EFT TIA
"Wednesday, December 27, 2017",VP66312260,Paycase
"Wednesday, December 27, 2017",VF53200630,Paycase
"Thursday, December 28, 2017",VF53196720,Reissue
"Friday, December 29, 2017",VF53223270,EFT TIA
"Friday, December 29, 2017",VF53223710,EFT TIA
"Friday, December 29, 2017",VF53223070,EFT TIA
"Friday, December 29, 2017",VF53177060,Docattach
"Friday, December 29, 2017",VF53223950,EFT TIA
"Friday, December 29, 2017",VF53206500,Paycase
"Friday, December 29, 2017",VF53194810,Docattach
"Friday, December 29, 2017",VF53223320,EFT TIA
"Friday, December 29, 2017",VF53223280,EFT TIA
"Friday, December 29, 2017",VF53223990,EFT TIA
"Friday, December 29, 2017",VF53223680,EFT TIA
"Friday, December 29, 2017",VF53223740,EFT TIA
"Friday, December 29, 2017",VF53223300,EFT TIA
"Friday, December 29, 2017",VF53223980,EFT TIA
"Friday, December 29, 2017",VF53223310,EFT TIA
"Friday, December 29, 2017",VF53223750,EFT TIA
"Friday, December 29, 2017",VF53221190,EFT TIA
"Friday, December 29, 2017",VF53223760,EFT TIA
"Friday, December 29, 2017",VF53221400,EFT TIA
"Friday, December 29, 2017",VF53223770,EFT TIA
"Friday, December 29, 2017",VF53224020,EFT TIA
"Friday, December 29, 2017",VF53218190,EFT TIA
"Friday, December 29, 2017",VF53199280,Paycase
"Friday, December 29, 2017",VF53193510,Paycase
"Friday, December 29, 2017",VF53189990,Paycase
"Friday, December 29, 2017",VF53194190,Paycase
"Friday, December 29, 2017",VF53222080,EFT TIA
"Friday, December 29, 2017",VF53223780,EFT TIA
"Friday, December 29, 2017",VF53178530,Paycase
"Friday, December 29, 2017",VF53224310,EFT TIA
"Friday, December 29, 2017",VF53224280,EFT TIA
"Friday, December 29, 2017",VF53183240,Paycase
"Friday, December 29, 2017",VF53190110,Paycase
"Friday, December 29, 2017",VF53224300,EFT TIA
"Friday, December 29, 2017",VF53224330,EFT TIA
"Friday, December 29, 2017",VF53224330,EFT TIA
"Friday, December 29, 2017",VF53187630,Paycase
"Friday, December 29, 2017",VF53194600,Paycase
"Tuesday, January 2, 2018",VF53184240,Refund
"Wednesday, January 3, 2018",VF53197840,Docattach
"Wednesday, January 3, 2018",VF53225100,EFT TIA
"Wednesday, January 3, 2018",VF53221250,EFT TIA
"Wednesday, January 3, 2018",VF53207850,EFT TIA
"Wednesday, January 3, 2018",VF53225200,EFT TIA
"Friday, January 5, 2018",VF53230360,EFT TIA
"Friday, January 5, 2018",VF53230530,EFT TIA
"Friday, January 5, 2018",VF53231170,EFT TIA
"Friday, January 5, 2018",VF53200650,Docattach
"Friday, January 5, 2018",VP66309560,Paycase
"Friday, January 5, 2018",VF53178980,Paycase
"Tuesday, January 9, 2018",VF53182730,Docattach
"Wednesday, January 17, 2018",VF53234420,EFT TIA
"Wednesday, January 17, 2018",VF53233580,EFT TIA
"Wednesday, January 17, 2018",VF53225170,EFT TIA
"Wednesday, January 17, 2018",VF53233580,EFT TIA
"Wednesday, January 17, 2018",VF53234320,EFT TIA
"Wednesday, January 17, 2018",VF53234300,EFT TIA
"Wednesday, January 17, 2018",VF53233870,EFT TIA
"Wednesday, January 17, 2018",VF53234340,EFT TIA
"Wednesday, January 17, 2018",VF53234700,EFT TIA
"Wednesday, January 17, 2018",VF53234080,EFT TIA
"Wednesday, January 17, 2018",VF53234690,EFT TIA
"Wednesday, January 17, 2018",VF53234610,EFT TIA
"Wednesday, January 17, 2018",VF53234510,EFT TIA
"Wednesday, January 17, 2018",VF53234330,EFT TIA
"Wednesday, January 17, 2018",VF53198840,Paycase
"Thursday, January 18, 2018",VF53234570,EFT TIA
"Thursday, January 18, 2018",VF53224500,EFT TIA
"Thursday, January 18, 2018",VF53224410,EFT TIA
"Thursday, January 18, 2018",VF53234960,EFT TIA
"Thursday, January 18, 2018",VF53215070,Paycase
"Friday, January 19, 2018",VF53192100,Paycase
"Friday, January 19, 2018",VF53231870,Paycase
"Friday, January 19, 2018",VF53209990,Paycase
"Friday, January 19, 2018",VF53178980,Paycase
"Friday, January 19, 2018",VF53235130,EFT TIA
"Friday, January 19, 2018",VF53236100,EFT TIA
"Friday, January 19, 2018",VF53236040,EFT TIA
"Friday, January 19, 2018",VF53192300,Docattach
"Friday, January 19, 2018",VF53235570,EFT TIA
"Friday, January 19, 2018",VF53236010,EFT TIA
"Friday, January 19, 2018",VF53193530,Paycase
"Friday, January 19, 2018",VP66308650,Paycase
"Friday, January 19, 2018",VF53236010,EFT TIA
"Friday, January 19, 2018",VF53236780,EFT TIA
"Friday, January 19, 2018",VF53236610,EFT TIA
"Friday, January 19, 2018",VF53233550,EFT TIA
"Friday, January 19, 2018",VF53236040,EFT TIA
"Friday, January 19, 2018",VF53236640,EFT TIA
"Friday, January 19, 2018",VF53234860,EFT TIA
"Wednesday, January 24, 2018",VF53238290,EFT TIA
"Wednesday, January 24, 2018",VF53237910,EFT TIA
"Wednesday, January 24, 2018",VF53199270,Docattach
"Wednesday, January 24, 2018",VF53238560,EFT TIA
"Wednesday, January 24, 2018",VF53238090,EFT TIA
"Wednesday, January 24, 2018",VF53233380,EFT TIA
"Wednesday, January 24, 2018",VF53238140,EFT TIA
"Wednesday, January 24, 2018",VF53237930,EFT TIA
"Wednesday, January 24, 2018",VF53238140,EFT TIA
"Wednesday, January 24, 2018",VF53215720,Paycase
"Wednesday, January 24, 2018",VF53238810,EFT TIA
"Wednesday, January 24, 2018",VF53195230,Docattach
"Wednesday, January 24, 2018",VF53238700,Apply Check
"Wednesday, January 24, 2018",VF53238340,Apply Check
"Wednesday, January 24, 2018",VF53238370,EFT TIA
"Wednesday, January 24, 2018",VP66314770,Paycase
"Wednesday, January 24, 2018",VF53238800,EFT TIA
"Wednesday, January 24, 2018",VF53178600,Paycase
"Wednesday, January 24, 2018",VF53176300,Docattach
"Wednesday, January 24, 2018",VF53178140,Docattach
"Thursday, January 25, 2018",VF53181360,Docattach
"Thursday, January 25, 2018",VF53182010,Docattach
"Thursday, January 25, 2018",VF53182880,Docattach
"Thursday, January 25, 2018",VF53182960,Docattach
"Thursday, January 25, 2018",VF53184360,Docattach
"Thursday, January 25, 2018",VF53230480,EFT TIA
"Thursday, January 25, 2018",VF53238850,EFT TIA
"Friday, January 26, 2018",VF53233770,EFT TIA
"Friday, January 26, 2018",VF53233870,EFT TIA
"Friday, January 26, 2018",VF53239240,EFT TIA
"Friday, January 26, 2018",VF53191080,Paycase
"Friday, January 26, 2018",VF53239240,EFT TIA
"Friday, January 26, 2018",VF53239260,EFT TIA
"Friday, January 26, 2018",VF53238940,Apply Check
"Friday, January 26, 2018",VF53239690,EFT TIA
"Friday, January 26, 2018",VF53238660,Apply Check
"Friday, January 26, 2018",VF53195440,Docattach
"Friday, January 26, 2018",VF53185240,Docattach
"Friday, January 26, 2018",VF53239760,EFT TIA
"Friday, January 26, 2018",VF53239810,EFT TIA
"Friday, January 26, 2018",VF53239670,EFT TIA
"Friday, January 26, 2018",VF53233320,EFT TIA
"Friday, January 26, 2018",VF53239530,EFT TIA
"Friday, January 26, 2018",VF53239540,EFT TIA
"Friday, January 26, 2018",VF53239660,EFT TIA
"Friday, January 26, 2018",VF53239800,EFT TIA
"Friday, January 26, 2018",VF53213920,Docattach
"Friday, January 26, 2018",VF53207600,Docattach
"Friday, January 26, 2018",VF53239820,EFT TIA
"Friday, January 26, 2018",VF53239950,EFT TIA
"Tuesday, January 30, 2018",VF53240360,EFT TIA
"Tuesday, January 30, 2018",VF53240630,EFT TIA
"Tuesday, January 30, 2018",VF53240680,EFT TIA
"Tuesday, January 30, 2018",VF53238310,EFT TIA
"Tuesday, January 30, 2018",VF53240990,EFT TIA
"Tuesday, January 30, 2018",VF53240830,EFT TIA
"Wednesday, January 31, 2018",VP66319140,EFT TIA
"Wednesday, January 31, 2018",VF53205810,Docattach
"Wednesday, January 31, 2018",VF53193770,Docattach
"Wednesday, January 31, 2018",VF53217650,Docattach
"Wednesday, January 31, 2018",VF53241140,EFT TIA
"Wednesday, January 31, 2018",VF53241020,EFT TIA
"Wednesday, January 31, 2018",VF53241390,EFT TIA
"Wednesday, January 31, 2018",VF53241210,EFT TIA
"Wednesday, January 31, 2018",VF53187020,Docattach
"Wednesday, January 31, 2018",VF53193560,Docattach
"Wednesday, January 31, 2018",VF53233460,Paycase
"Wednesday, January 31, 2018",VF53241380,EFT TIA
"Wednesday, January 31, 2018",VF53178560,Paycase
"Wednesday, January 31, 2018",VF53187020,Paycase
"Wednesday, January 31, 2018",VF53241050,EFT TIA
"Wednesday, January 31, 2018",VF53241520,EFT TIA
"Wednesday, January 31, 2018",VF53234520,EFT TIA
"Wednesday, January 31, 2018",VF53234150,EFT TIA
"Wednesday, January 31, 2018",VF53239830,EFT TIA
"Wednesday, January 31, 2018",VP66319140,EFT TIA
"Wednesday, January 31, 2018",VF53241400,EFT TIA
"Wednesday, January 31, 2018",VF53238940,Paycase
"Wednesday, January 31, 2018",VF53195150,Docattach
"Wednesday, January 31, 2018",VF53217650,Paycase
"Wednesday, January 31, 2018",VF53187020,Paycase
"Wednesday, January 31, 2018",VF53203650,Docattach
"Wednesday, January 31, 2018",VF53204410,Docattach
"Thursday, February 1, 2018",VP66310750,Paycase
"Thursday, February 1, 2018",VF53187560,Docattach
"Monday, February 5, 2018",VF53193560,Paycase
"Tuesday, February 6, 2018",VF53207160,Docattach
"Tuesday, February 6, 2018",VF53187440,Docattach
"Wednesday, February 7, 2018",VF53244000,EFT TIA
"Wednesday, February 7, 2018",VF53234740,Docattach
"Wednesday, February 7, 2018",VF53243010,EFT TIA
"Thursday, February 8, 2018",VF53193870,Docattach
"Thursday, February 8, 2018",VF53198890,Docattach
"Thursday, February 8, 2018",VF53212230,Paycase
"Thursday, February 8, 2018",VP66319550,EFT TIA
"Thursday, February 8, 2018",VF53195500,Docattach
"Thursday, February 8, 2018",VF53198840,Paycase
"Thursday, February 8, 2018",VF53208570,Docattach
"Thursday, February 8, 2018",VF53244780,EFT TIA
"Thursday, February 8, 2018",VF53244720,EFT TIA
"Thursday, February 8, 2018",VF53198890,Paycase
"Thursday, February 8, 2018",VF53244720,EFT TIA
"Thursday, February 8, 2018",VP66319500,EFT TIA
"Thursday, February 8, 2018",VF53192860,Docattach
"Thursday, February 8, 2018",VF53244730,EFT TIA
"Thursday, February 8, 2018",VF53176620,Reissue
"Thursday, February 8, 2018",VF53245050,EFT TIA
"Thursday, February 8, 2018",VP66310030,Paycase
"Thursday, February 8, 2018",VF53245050,EFT TIA
"Thursday, February 8, 2018",VF53244950,EFT TIA
"Friday, February 9, 2018",VF53176620,Reissue
"Friday, February 9, 2018",VF53245920,EFT TIA
"Monday, February 12, 2018",VF53246000,EFT TIA
"Monday, February 12, 2018",VF53246080,EFT TIA
"Monday, February 12, 2018",VF53246290,EFT TIA
"Monday, February 12, 2018",VF53246300,EFT TIA
"Monday, February 12, 2018",VF53246490,EFT TIA
"Monday, February 12, 2018",VF53246240,EFT TIA
"Monday, February 12, 2018",VF53246530,EFT TIA
"Monday, February 12, 2018",VF53176740,Docattach
"Monday, February 12, 2018",VF53246140,EFT TIA
"Monday, February 12, 2018",VF53246270,EFT TIA
"Tuesday, February 13, 2018",VF53179380,Paycase
"Tuesday, February 13, 2018",VF53232260,Docattach
"Tuesday, February 13, 2018",VF53183970,Docattach
"Tuesday, February 13, 2018",VF53205270,Paycase
"Tuesday, February 13, 2018",VF53246890,EFT TIA
"Tuesday, February 13, 2018",VF53246930,EFT TIA
"Tuesday, February 13, 2018",VF53182950,Reissue
"Tuesday, February 13, 2018",VF53247010,EFT TIA
